1password	ii 	8.12.30
7zip	ii 	25.01+dfsg-1~deb13u2
7zip-rar	ii 	25.00+ds-1+deb13u1
accountsservice	ii 	23.13.9-7
acl	ii 	2.3.2-2+b1
adduser	ii 	3.152
adwaita-icon-theme	ii 	48.1-1
alsa-topology-conf	ii 	1.2.5.1-3
alsa-ucm-conf	ii 	1.2.14-1
alsa-utils	ii 	1.2.14-1
amd64-microcode	ii 	3.20250311.1
anacron	ii 	2.3-43
anthy	ii 	1:0.4-3+b1
anthy-common	ii 	1:0.4-3
apparmor	ii 	4.1.0-1
appstream	ii 	1.0.5-1
apt	ii 	3.0.3
apt-config-icons	ii 	1.0.5-1
apt-transport-https	ii 	3.0.3
apt-utils	ii 	3.0.3
aria2	ii 	1.37.0+debian-3
aspell	ii 	0.60.8.1-4
aspell-am	ii 	0.03-1-5.2
aspell-ar	ii 	0.0.20060329-6
aspell-ar-large	ii 	1.2-0-5
aspell-bg	ii 	4.1-7.1
aspell-ca	ii 	0.20111230b-14
aspell-cs	ii 	0.51.0-1.3
aspell-cy	ii 	0.50-3-8
aspell-da	ii 	1.6.36-17
aspell-de	ii 	20161207-15
aspell-el	ii 	0.50-3-8
aspell-en	ii 	2020.12.07-0-1
aspell-eo	ii 	3.7-2
aspell-es	ii 	1.11-20
aspell-et	ii 	1:20030606-32
aspell-eu	ii 	3.0.20070215-2
aspell-fa	ii 	0.11-0-4
aspell-fr	ii 	0.50-3-9
aspell-ga	ii 	0.50-4-6
aspell-gl-minimos	ii 	0.5-48
aspell-he	ii 	1.0-0-8.1
aspell-hr	ii 	0.51-6.1
aspell-hu	ii 	0.99.4.2-0-5
aspell-is	ii 	0.51.1-0-2
aspell-it	ii 	2.4-20070901-0-4
aspell-kk	ii 	0.2-3
aspell-ku	ii 	0.20-0-8
aspell-lt	ii 	1.3.2-3
aspell-lv	ii 	0.9.6-12
aspell-nl	ii 	1:2.20.19+1-3
aspell-no	ii 	2.2-4
aspell-pl	ii 	20250101-1
aspell-pt-br	ii 	20131030-19
aspell-pt-pt	ii 	20220621-1
aspell-ro	ii 	3.3.10-1
aspell-ru	ii 	0.99g5-30
aspell-sk	ii 	1:25.2.3-1+2.04+ds.9
aspell-sl	ii 	0.60-4.1
aspell-sv	ii 	0.51-0-4
aspell-tl	ii 	0.4-0-22
aspell-uk	ii 	1.8.0+dfsg-1
at-spi2-common	ii 	2.56.2-1+deb13u1
at-spi2-core	ii 	2.56.2-1+deb13u1
atmel-firmware	ii 	1.3-7.1
atril	ii 	1.26.2-4+deb13u1
atril-common	ii 	1.26.2-4+deb13u1
avahi-daemon	ii 	0.8-16
avahi-utils	ii 	0.8-16
base-files	ii 	13.8+deb13u6
base-passwd	ii 	3.6.7
bash	ii 	5.2.37-2+b9
bash-completion	ii 	1:2.16.0-7
bc	ii 	1.07.1-4
bind9-dnsutils	ii 	1:9.20.26-1~deb13u1
bind9-host	ii 	1:9.20.26-1~deb13u1
bind9-libs:amd64	ii 	1:9.20.26-1~deb13u1
binutils	ii 	2.44-3
binutils-common:amd64	ii 	2.44-3
binutils-x86-64-linux-gnu	ii 	2.44-3
bluez	ii 	5.82-1.1
bluez-firmware	ii 	1.2-13
bolt	ii 	0.9.8-1
bsdextrautils	ii 	2.41-5
bsdutils	ii 	1:2.41-5
btop	ii 	1.3.2-0.1
btrfs-progs	ii 	6.14-1
bubblewrap	ii 	0.11.0-2+deb13u1
build-essential	ii 	12.12
busybox	ii 	1:1.37.0-6+b8
bzip2	ii 	1.0.8-6
ca-certificates	ii 	20250419
chromium	ii 	150.0.7871.181-1~deb13u1
chromium-common	ii 	150.0.7871.181-1~deb13u1
chromium-sandbox	ii 	150.0.7871.181-1~deb13u1
coinor-libcbc3.1:amd64	ii 	2.10.12+ds-1
coinor-libcgl1:amd64	ii 	0.60.9+ds-1
coinor-libclp1:amd64	ii 	1.17.10+ds-1
coinor-libcoinmp0:amd64	ii 	1.8.4+dfsg-2
coinor-libcoinutils3v5:amd64	ii 	2.11.11+ds-5
coinor-libosi1v5:amd64	ii 	0.108.10+ds-2
colord	ii 	1.4.7-3
colord-data	ii 	1.4.7-3
console-setup	ii 	1.242~deb13u1
console-setup-linux	ii 	1.242~deb13u1
coreutils	ii 	9.7-3
cpio	ii 	2.15+dfsg-2
cpp	ii 	4:14.2.0-1
cpp-14	ii 	14.2.0-19
cpp-14-x86-64-linux-gnu	ii 	14.2.0-19
cpp-x86-64-linux-gnu	ii 	4:14.2.0-1
cracklib-runtime	ii 	2.9.6-5.2+b1
cron	ii 	3.0pl1-197
cron-daemon-common	ii 	3.0pl1-197
cryptsetup-bin	ii 	2:2.7.5-2
culmus	ii 	0.140-3
cups	ii 	2.4.10-3+deb13u2
cups-browsed	ii 	1.28.17-6+deb13u1
cups-client	ii 	2.4.10-3+deb13u2
cups-common	ii 	2.4.10-3+deb13u2
cups-core-drivers	ii 	2.4.10-3+deb13u2
cups-daemon	ii 	2.4.10-3+deb13u2
cups-filters	ii 	1.28.17-6+deb13u1
cups-filters-core-drivers	ii 	1.28.17-6+deb13u1
cups-ipp-utils	ii 	2.4.10-3+deb13u2
cups-pk-helper	ii 	0.2.6-2.1
cups-ppdc	ii 	2.4.10-3+deb13u2
cups-server-common	ii 	2.4.10-3+deb13u2
curl	ii 	8.14.1-2+deb13u4
dahdi-firmware-nonfree	ii 	2.11.1.0.20170917-3
dash	ii 	0.5.12-12
dbus	ii 	1.16.2-2
dbus-bin	ii 	1.16.2-2
dbus-daemon	ii 	1.16.2-2
dbus-session-bus-common	ii 	1.16.2-2
dbus-system-bus-common	ii 	1.16.2-2
dbus-user-session	ii 	1.16.2-2
dbus-x11	ii 	1.16.2-2
dconf-cli	ii 	0.40.0-5
dconf-gsettings-backend:amd64	ii 	0.40.0-5
dconf-service	ii 	0.40.0-5
debconf	ii 	1.5.91
debconf-i18n	ii 	1.5.91
debian-archive-keyring	ii 	2025.1
debianutils	ii 	5.23.2
desktop-base	ii 	13.0.4
desktop-file-utils	ii 	0.28-1
dhcpcd-base	ii 	1:10.1.0-11+deb13u3
dictionaries-common	ii 	1.30.10
diffutils	ii 	1:3.10-4
dirmngr	ii 	2.4.7-21+deb13u1+b4
dmidecode	ii 	3.6-2
dmsetup	ii 	2:1.02.205-2
dns-root-data	ii 	2025080400~deb13u1
dnsmasq-base	ii 	2.91-1+deb13u1
docbook-xml	ii 	4.5-13
dosfstools	ii 	4.2-1.2
dpkg	ii 	1.22.22
dpkg-dev	ii 	1.22.22
dracut-install	ii 	106-6
e2fsprogs	ii 	1.47.2-3+b11
efibootmgr	ii 	18-2
eject	ii 	2.41-5
emacsen-common	ii 	3.0.8
enchant-2	ii 	2.8.2+dfsg1-3
espeak-ng-data:amd64	ii 	1.52.0+dfsg-5
ethtool	ii 	1:6.14.2-1
exfalso	ii 	4.6.0-6
exfatprogs	ii 	1.2.9-1+deb13u1
exo-utils	ii 	4.20.0-1
fakeroot	ii 	1.37.1.1-1
fcitx-config-common	ii 	0.4.10-3
fcitx-config-gtk	ii 	0.4.10-3+b1
fcitx-frontend-all	ii 	1:4.2.9.9-2
fcitx-frontend-gtk2	ii 	1:4.2.9.9-2+b1
fcitx-frontend-gtk3	ii 	1:4.2.9.9-2+b1
fcitx-frontend-qt5:amd64	ii 	1.2.7-3+b3
fcitx-frontend-qt6:amd64	ii 	1.2.7-3+b3
fcitx-module-dbus	ii 	1:4.2.9.9-2+b1
fcitx-module-kimpanel	ii 	1:4.2.9.9-2+b1
fcitx-module-lua	ii 	1:4.2.9.9-2+b1
fcitx-module-quickphrase-editor5:amd64	ii 	1.2.7-3+b3
fcitx-module-x11	ii 	1:4.2.9.9-2+b1
fcitx-modules	ii 	1:4.2.9.9-2+b1
