2.668s NetworkManager-wait-online.service
1.345s dev-nvme0n1p3.device
1.286s NetworkManager.service
 772ms accounts-daemon.service
 758ms lm-sensors.service
 726ms networking.service
 680ms udisks2.service
 660ms iio-sensor-proxy.service
 592ms polkit.service
 559ms keyboard-setup.service
 501ms apparmor.service
 496ms systemd-logind.service
 477ms bluetooth.service
 471ms systemd-journald.service
 422ms upower.service
 404ms systemd-udev-trigger.service
 403ms user@1000.service
 375ms grub-common.service
 333ms systemd-modules-load.service
 330ms boot-efi.mount
 305ms systemd-remount-fs.service
 279ms avahi-daemon.service
 273ms smartmontools.service
 270ms modprobe@fuse.service
 267ms modprobe@drm.service
 250ms dev-mqueue.mount
 241ms dev-hugepages.mount
 241ms systemd-hostnamed.service
 239ms ModemManager.service
 237ms sys-kernel-tracing.mount
 236ms kmod-static-nodes.service
 235ms modprobe@configfs.service
 234ms sys-kernel-debug.mount
 230ms run-lock.mount
 211ms systemd-fsck@dev-disk-by\x2duuid-7E82\x2dCA4A.service
 210ms systemd-binfmt.service
 209ms systemd-udev-load-credentials.service
 203ms systemd-udevd.service
 187ms ssh.service
 187ms systemd-rfkill.service
 180ms e2scrub_reap.service
 172ms wpa_supplicant.service
 169ms cups.service
 164ms systemd-journal-flush.service
 159ms proc-sys-fs-binfmt_misc.mount
 148ms systemd-tmpfiles-setup.service
 147ms dbus.service
 142ms colord.service
 117ms lightdm.service
 104ms plymouth-quit-wait.service
 102ms sys-fs-fuse-connections.mount
  97ms systemd-backlight@backlight:acpi_video0.service
  92ms sys-kernel-config.mount
  83ms systemd-backlight@leds:spi::kbd_backlight.service
  82ms plymouth-start.service
  76ms systemd-user-sessions.service
  72ms systemd-tmpfiles-setup-dev-early.service
  63ms systemd-random-seed.service
  58ms alsa-restore.service
  57ms plymouth-read-write.service
  55ms systemd-sysctl.service
  51ms user-runtime-dir@1000.service
  48ms console-setup.service
  47ms ifupdown-pre.service
  40ms tmp.mount
  39ms modprobe@efi_pstore.service
  32ms systemd-tmpfiles-setup-dev.service
  24ms rtkit-daemon.service
